duration,src_bytes ,dst_bytes ,land ,wrong_fragment ,urgent ,hot ,num_failed_logins ,logged_in ,num_compromised ,root_shell ,su_attempted ,num_root ,num_file_creations ,num_shells ,num_access_files ,num_outbound_cmds ,is_host_login ,is_guest_login ,count ,srv_count ,serror_rate ,srv_serror_rate ,rerror_rate ,srv_rerror_rate ,same_srv_rate ,diff_srv_rate ,srv_diff_host_rate ,dst_host_count ,dst_host_srv_count ,dst_host_same_srv_rate ,dst_host_diff_srv_rate ,dst_host_same_src_port_rate ,dst_host_srv_diff_host_rate ,dst_host_serror_rate ,dst_host_srv_serror_rate ,'dst_host_srv_rerror_rate' ,dst_host_srv_rerror_rate �,label
0,491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,150,25,0.17,0.03,0.17,0,0,0,0.05,0,1
0,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0.08,0.15,0,255,1,0,0.6,0.88,0,0,0,0,0,1
0,232,8153,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,5,0.2,0.2,0,0,1,0,0,30,255,1,0,0.03,0.04,0.03,0.01,0,0.01,1
0,199,420,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,30,32,0,0,0,0,1,0,0.09,255,255,1,0,0,0,0,0,0,0,1
0,287,2251,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,1,0,0.43,8,219,1,0,0.12,0.03,0,0,0,0,1
0,300,13788,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,9,0,0.11,0,0,1,0,0.22,91,255,1,0,0.01,0.02,0,0,0,0,1
0,233,616,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,1,0,0,66,255,1,0,0.02,0.03,0,0,0.02,0,1
0,343,1178,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,10,0,0,0,0,1,0,0.2,157,255,1,0,0.01,0.04,0,0,0,0,1
0,253,11905,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,10,0,0,0,0,1,0,0.2,87,255,1,0,0.01,0.02,0,0,0,0,1
5607,147,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,255,1,0,0.85,1,0,0,0,0,0,1
507,437,14421,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,255,25,0.1,0.05,0,0,0.53,0,0.02,0.16,1
0,227,6588,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,22,0,0,0,0,1,0,0.18,43,255,1,0,0.02,0.14,0,0,0.56,0.57,1
0,215,10499,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,14,0,0,0,0,1,0,0,255,255,1,0,0,0,0,0,0,0,1
0,241,1400,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,33,33,0,0,0.03,0.03,1,0,0,255,255,1,0,0,0,0,0,0,0,1
0,303,555,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,1,0,0,9,255,1,0,0.11,0.01,0,0,0,0,1
0,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,181,0,0,0,0,1,0,0,255,250,0.98,0.01,0,0,0,0,0,0,1
1,105,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,41,5,0.12,0.05,0.05,0,0,0,0,0,1
0,43,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,202,0,0,0,0,1,0,0.01,255,255,1,0,0.01,0,0,0,0,0,1
0,324,2302,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,22,28,0,0,0,0,1,0,0.14,255,255,1,0,0,0,0,0,0,0,1
2,1591,372,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,1,181,147,0.81,0.02,0.01,0,0,0,0,0,1
9052,146,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0.5,0.5,0,255,2,0.01,0.66,0.99,0,0,0,0,0,1
0,290,3006,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,11,0,0,0,0,1,0,0,255,255,1,0,0,0,0,0,0,0,1
0,255,861,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,44,44,0.02,0.02,0,0,1,0,0,255,255,1,0,0,0,0,0,0,0,1
0,302,498,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,1,0,0,131,255,1,0,0.01,0.04,0,0,0,0,1
0,220,1398,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26,42,0,0,0,0,1,0,0.05,26,255,1,0,0.04,0.03,0,0,0,0,1
0,43,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,120,0,0,0,0,1,0,0,255,245,0.96,0.01,0.01,0,0,0,0,0,1
0,44,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,75,0,0,0,0,1,0,0.03,122,212,0.88,0.02,0.88,0.01,0,0,0.08,0,1
0,43,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,228,0,0,0,0,1,0,0.01,255,255,1,0,0.01,0,0,0,0,0,1
0,641,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,175,48,0.25,0.02,0.25,0.04,0,0,0,0,1
0,310,2794,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,1,0,0,255,255,1,0,0,0,0,0,0,0,1
0,696,333,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,109,133,0.39,0.04,0.01,0.02,0,0,0,0,1
0,221,2878,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,21,58,1,0,0.05,0.03,0,0,0,0,1
0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0.67,0.67,0,255,93,0.36,0.01,0.46,0,0,0,0,0,1
0,42,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,14,0,0,0,0,1,0,0.21,84,83,0.99,0.02,0.01,0,0,0,0,0,1
0,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,44,47,0.55,0.07,0.55,0.04,0,0,0,0,1
0,210,2790,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,27,0,0,0,0,1,0,0.11,48,255,1,0,0.02,0.09,0,0,0,0,1
0,321,5683,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,1,0,0,168,255,1,0,0.01,0.04,0,0,0,0,1
0,329,3982,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,31,0,0,0,0,1,0,0.1,24,255,1,0,0.04,0.05,0,0,0,0,1
0,320,379,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,1,0,0,123,255,1,0,0.01,0.02,0,0,0,0,1
0,225,3762,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,1,0,0,255,255,1,0,0,0,0,0,0,0,1
315,146,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0.67,0.67,0,117,2,0.02,0.54,0.78,0,0,0,0,0,1
0,247,1416,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,11,0,0,0,0,1,0,0,156,255,1,0,0.01,0.09,0,0,0.46,0.61,1
0,353,1483,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,1,0,0.33,255,255,1,0,0,0,0,0,0,0,1
0,44,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,189,0,0,0,0,0.99,0.02,0.01,255,254,1,0.01,0.01,0,0,0,0,0,1
2,3065,331,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,1,243,119,0.48,0.02,0,0.02,0.01,0.02,0,0,1
0,102,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,7,1,0.14,0.29,0.14,0,0,0,0,0,1
0,259,750,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,1,0,0.4,4,255,1,0,0.25,0.03,0,0,0,0,1
1082,147,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,255,2,0.01,0.42,0.86,0,0,0,0,0,1
0,0,354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,0.03,0.03,0,0,1,0,0,255,255,1,0,0,0,0,0,0,0,1
0,309,306,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,66,255,1,0,0.02,0.02,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,1,1,0,1,1,247,1,0,1,0.15,0,0,1,0.68,1
0,278,7227,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,1,0,0,153,255,1,0,0.01,0.05,0,0,0,0,1
0,313,761,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,43,255,1,0,0.02,0.03,0,0,0,0,1
0,219,1212,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,15,0,0,0,0,1,0,0,242,255,1,0,0,0.01,0,0,0,0,1
0,245,9165,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,1,0,0.67,10,255,1,0,0.1,0.05,0,0,0,0,1
0,328,2243,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,21,21,0,0,0,0,1,0,0,21,255,1,0,0.05,0.04,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,23,249,1,0,0.04,0.1,0,0,1,0.96,1
0,251,301,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,1,0,0.29,255,252,0.99,0.01,0,0,0,0,0,0,1
0,2089,335,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0.5,1,1,255,152,0.6,0.03,0,0,0.01,0.02,0,0.01,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,6,255,1,0,0.17,0.21,0,0,1,0.88,1
0,237,511,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,3,255,1,0,0.33,0.01,0,0,0,0,1
0,324,431,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,1,0,0.4,107,255,1,0,0.01,0.02,0,0,0,0,1
0,105,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0.25,0.5,0,255,239,0.94,0.01,0,0,0,0,0,0,1
0,218,974,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,1,0,0,6,255,1,0,0.17,0.02,0,0.01,0,0,1
0,325,2649,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,1,0,0,107,255,1,0,0.01,0.01,0,0,0,0,1
240,328,275,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,10,0,0,0,0.1,1,0,0.2,255,250,0.98,0.01,0,0,0,0,0,0,1
0,9,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,195,10,0.03,0.03,0.01,0.2,0.01,0,0.01,0,1
0,46,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,178,0,0,0,0,1,0,0.02,255,254,1,0.01,0.01,0,0,0,0,0,1
1,1079,334,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,138,167,0.57,0.03,0.01,0.01,0,0,0,0,1
0,45,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,159,0,0,0,0,1,0,0.01,255,254,1,0.01,0,0,0,0,0,0,1
26,273,903,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,176,49,0.28,0.02,0.01,0,0.01,0.02,0,0,1
0,237,138,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,2,2,1,0,0.5,0,0,0,0,0,1
0,225,1357,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,5,255,1,0,0.2,0.02,0,0,0,0,1
0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0.33,0.67,0,255,1,0,0.61,0.97,0,0,0,0,0,1
0,262,1011,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,1,0,0.5,94,255,1,0,0.02,0.01,0,0,0,0,1
0,261,8412,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,1,0,0,255,255,1,0,0,0,0,0,0,0,1
0,294,1719,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,1,0,0,108,255,1,0,0.01,0.01,0,0,0,0,1
0,221,981,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,1,0,0.67,50,82,1,0,0.02,0.04,0,0,0,0,1
0,284,10352,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,11,255,1,0,0.09,0.07,0,0,0,0,1
0,309,16096,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,1,0,0,31,129,1,0,0.03,0.02,0,0,0,0,1
0,214,283,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,27,255,1,0,0.04,0.05,0,0.01,0,0,1
